"Time (CET/CEST)","Austria (AT) > Germany (DE) [MW]","Germany (DE) > Austria (AT) [MW]"
"01.01.2023 00:00 - 01.01.2023 00:15","0","2157"
"01.01.2023 00:15 - 01.01.2023 00:30","0","2368"
"01.01.2023 00:30 - 01.01.2023 00:45","0","2346"
"01.01.2023 00:45 - 01.01.2023 01:00","0","2385"
"01.01.2023 01:00 - 01.01.2023 01:15","0","2722"
"01.01.2023 01:15 - 01.01.2023 01:30","0","2594"
"01.01.2023 01:30 - 01.01.2023 01:45","0","2463"
"01.01.2023 01:45 - 01.01.2023 02:00","0","2454"
"01.01.2023 02:00 - 01.01.2023 02:15","0","2349"
"01.01.2023 02:15 - 01.01.2023 02:30","0","2348"
"01.01.2023 02:30 - 01.01.2023 02:45","0","2369"
"01.01.2023 02:45 - 01.01.2023 03:00","0","2257"
"01.01.2023 03:00 - 01.01.2023 03:15","0","2260"
"01.01.2023 03:15 - 01.01.2023 03:30","0","2219"
"01.01.2023 03:30 - 01.01.2023 03:45","0","2230"
"01.01.2023 03:45 - 01.01.2023 04:00","0","2209"
"01.01.2023 04:00 - 01.01.2023 04:15","0","2289"
"01.01.2023 04:15 - 01.01.2023 04:30","0","2280"
"01.01.2023 04:30 - 01.01.2023 04:45","0","2251"
"01.01.2023 04:45 - 01.01.2023 05:00","0","2261"
"01.01.2023 05:00 - 01.01.2023 05:15","0","2259"
"01.01.2023 05:15 - 01.01.2023 05:30","0","2308"
"01.01.2023 05:30 - 01.01.2023 05:45","0","2263"
"01.01.2023 05:45 - 01.01.2023 06:00","0","2227"
"01.01.2023 06:00 - 01.01.2023 06:15","0","2242"
"01.01.2023 06:15 - 01.01.2023 06:30","0","2214"
"01.01.2023 06:30 - 01.01.2023 06:45","0","2146"
"01.01.2023 06:45 - 01.01.2023 07:00","0","2161"
"01.01.2023 07:00 - 01.01.2023 07:15","0","2204"
"01.01.2023 07:15 - 01.01.2023 07:30","0","2287"
"01.01.2023 07:30 - 01.01.2023 07:45","0","2264"
"01.01.2023 07:45 - 01.01.2023 08:00","0","2250"
"01.01.2023 08:00 - 01.01.2023 08:15","0","1834"
"01.01.2023 08:15 - 01.01.2023 08:30","0","1727"
"01.01.2023 08:30 - 01.01.2023 08:45","0","1818"
"01.01.2023 08:45 - 01.01.2023 09:00","0","1934"
"01.01.2023 09:00 - 01.01.2023 09:15","0","2122"
"01.01.2023 09:15 - 01.01.2023 09:30","0","2203"
"01.01.2023 09:30 - 01.01.2023 09:45","0","2236"
"01.01.2023 09:45 - 01.01.2023 10:00","0","2267"
"01.01.2023 10:00 - 01.01.2023 10:15","0","2325"
"01.01.2023 10:15 - 01.01.2023 10:30","0","2439"
"01.01.2023 10:30 - 01.01.2023 10:45","0","2569"
"01.01.2023 10:45 - 01.01.2023 11:00","0","2541"
"01.01.2023 11:00 - 01.01.2023 11:15","0","2148"
"01.01.2023 11:15 - 01.01.2023 11:30","0","2178"
"01.01.2023 11:30 - 01.01.2023 11:45","0","2144"
"01.01.2023 11:45 - 01.01.2023 12:00","0","2070"
"01.01.2023 12:00 - 01.01.2023 12:15","0","1964"
"01.01.2023 12:15 - 01.01.2023 12:30","0","1874"
"01.01.2023 12:30 - 01.01.2023 12:45","0","1785"
"01.01.2023 12:45 - 01.01.2023 13:00","0","1785"
"01.01.2023 13:00 - 01.01.2023 13:15","0","1565"
"01.01.2023 13:15 - 01.01.2023 13:30","0","1572"
"01.01.2023 13:30 - 01.01.2023 13:45","0","1614"
