"Time (CET/CEST)","France (FR) > Germany (DE) [MW]","Germany (DE) > France (FR) [MW]"
"01.01.2023 00:00 - 01.01.2023 01:00","0","857"
"01.01.2023 01:00 - 01.01.2023 02:00","0","2008"
"01.01.2023 02:00 - 01.01.2023 03:00","0","1970"
"01.01.2023 03:00 - 01.01.2023 04:00","0","1443"
"01.01.2023 04:00 - 01.01.2023 05:00","0","1473"
"01.01.2023 05:00 - 01.01.2023 06:00","0","1445"
"01.01.2023 06:00 - 01.01.2023 07:00","0","1671"
"01.01.2023 07:00 - 01.01.2023 08:00","0","1867"
"01.01.2023 08:00 - 01.01.2023 09:00","0","2082"
"01.01.2023 09:00 - 01.01.2023 10:00","0","2024"
"01.01.2023 10:00 - 01.01.2023 11:00","0","1822"
"01.01.2023 11:00 - 01.01.2023 12:00","0","1346"
"01.01.2023 12:00 - 01.01.2023 13:00","0","826"
"01.01.2023 13:00 - 01.01.2023 14:00","285","0"
"01.01.2023 14:00 - 01.01.2023 15:00","758","0"
"01.01.2023 15:00 - 01.01.2023 16:00","1278","0"
"01.01.2023 16:00 - 01.01.2023 17:00","1783","0"
"01.01.2023 17:00 - 01.01.2023 18:00","2537","0"
"01.01.2023 18:00 - 01.01.2023 19:00","2539","0"
"01.01.2023 19:00 - 01.01.2023 20:00","2510","0"
"01.01.2023 20:00 - 01.01.2023 21:00","2656","0"
"01.01.2023 21:00 - 01.01.2023 22:00","2668","0"
"01.01.2023 22:00 - 01.01.2023 23:00","2615","0"
"01.01.2023 23:00 - 02.01.2023 00:00","2649","0"
"02.01.2023 00:00 - 02.01.2023 01:00","3198","0"
"02.01.2023 01:00 - 02.01.2023 02:00","2798","0"
"02.01.2023 02:00 - 02.01.2023 03:00","2133","0"
"02.01.2023 03:00 - 02.01.2023 04:00","2392","0"
"02.01.2023 04:00 - 02.01.2023 05:00","2486","0"
"02.01.2023 05:00 - 02.01.2023 06:00","2709","0"
"02.01.2023 06:00 - 02.01.2023 07:00","2597","0"
"02.01.2023 07:00 - 02.01.2023 08:00","2279","0"
"02.01.2023 08:00 - 02.01.2023 09:00","2196","0"
"02.01.2023 09:00 - 02.01.2023 10:00","1601","0"
"02.01.2023 10:00 - 02.01.2023 11:00","1140","0"
"02.01.2023 11:00 - 02.01.2023 12:00","876","0"
"02.01.2023 12:00 - 02.01.2023 13:00","1241","0"
"02.01.2023 13:00 - 02.01.2023 14:00","1855","0"
"02.01.2023 14:00 - 02.01.2023 15:00","1886","0"
"02.01.2023 15:00 - 02.01.2023 16:00","1984","0"
"02.01.2023 16:00 - 02.01.2023 17:00","2157","0"
"02.01.2023 17:00 - 02.01.2023 18:00","1226","0"
"02.01.2023 18:00 - 02.01.2023 19:00","0","122"
"02.01.2023 19:00 - 02.01.2023 20:00","0","691"
"02.01.2023 20:00 - 02.01.2023 21:00","0","751"
"02.01.2023 21:00 - 02.01.2023 22:00","0","616"
"02.01.2023 22:00 - 02.01.2023 23:00","0","415"
"02.01.2023 23:00 - 03.01.2023 00:00","0","811"
"03.01.2023 00:00 - 03.01.2023 01:00","0","519"
"03.01.2023 01:00 - 03.01.2023 02:00","0","545"
"03.01.2023 02:00 - 03.01.2023 03:00","324","0"
"03.01.2023 03:00 - 03.01.2023 04:00","922","0"
"03.01.2023 04:00 - 03.01.2023 05:00","1438","0"
"03.01.2023 05:00 - 03.01.2023 06:00","1742","0"
"03.01.2023 06:00 - 03.01.2023 07:00","2147","0"
"03.01.2023 07:00 - 03.01.2023 08:00","1729","0"
"03.01.2023 08:00 - 03.01.2023 09:00","2300","0"
"03.01.2023 09:00 - 03.01.2023 10:00","2152","0"
"03.01.2023 10:00 - 03.01.2023 11:00","2198","0"
"03.01.2023 11:00 - 03.01.2023 12:00","1980","0"
