,0
2022-01-01 00:00:00+01:00,28.0
2022-01-01 01:00:00+01:00,1.0
2022-01-01 02:00:00+01:00,0.0
2022-01-01 03:00:00+01:00,0.0
2022-01-01 04:00:00+01:00,117.0
2022-01-01 05:00:00+01:00,239.0
2022-01-01 06:00:00+01:00,312.0
2022-01-01 07:00:00+01:00,504.0
2022-01-01 08:00:00+01:00,1147.0
2022-01-01 09:00:00+01:00,1579.0
2022-01-01 10:00:00+01:00,2112.0
2022-01-01 11:00:00+01:00,2681.0
2022-01-01 12:00:00+01:00,2122.0
2022-01-01 13:00:00+01:00,2302.0
2022-01-01 14:00:00+01:00,2872.0
2022-01-01 15:00:00+01:00,3443.0
2022-01-01 16:00:00+01:00,3295.0
2022-01-01 17:00:00+01:00,2782.0
2022-01-01 18:00:00+01:00,1861.0
2022-01-01 19:00:00+01:00,1268.0
2022-01-01 20:00:00+01:00,1081.0
2022-01-01 21:00:00+01:00,1309.0
2022-01-01 22:00:00+01:00,824.0
2022-01-01 23:00:00+01:00,747.0
2022-01-02 00:00:00+01:00,831.0
2022-01-02 01:00:00+01:00,544.0
2022-01-02 02:00:00+01:00,755.0
2022-01-02 03:00:00+01:00,832.0
2022-01-02 04:00:00+01:00,1466.0
2022-01-02 05:00:00+01:00,1768.0
2022-01-02 06:00:00+01:00,1712.0
2022-01-02 07:00:00+01:00,1425.0
2022-01-02 08:00:00+01:00,1389.0
2022-01-02 09:00:00+01:00,1466.0
2022-01-02 10:00:00+01:00,1333.0
2022-01-02 11:00:00+01:00,1571.0
2022-01-02 12:00:00+01:00,1150.0
2022-01-02 13:00:00+01:00,1613.0
2022-01-02 14:00:00+01:00,1732.0
2022-01-02 15:00:00+01:00,2368.0
2022-01-02 16:00:00+01:00,2798.0
2022-01-02 17:00:00+01:00,2814.0
2022-01-02 18:00:00+01:00,2170.0
2022-01-02 19:00:00+01:00,1823.0
2022-01-02 20:00:00+01:00,1662.0
2022-01-02 21:00:00+01:00,1613.0
2022-01-02 22:00:00+01:00,1297.0
2022-01-02 23:00:00+01:00,826.0
2022-01-03 00:00:00+01:00,1043.0
2022-01-03 01:00:00+01:00,1318.0
2022-01-03 02:00:00+01:00,1521.0
2022-01-03 03:00:00+01:00,1700.0
2022-01-03 04:00:00+01:00,1537.0
2022-01-03 05:00:00+01:00,893.0
2022-01-03 06:00:00+01:00,677.0
2022-01-03 07:00:00+01:00,426.0
2022-01-03 08:00:00+01:00,190.0
2022-01-03 09:00:00+01:00,74.0
2022-01-03 10:00:00+01:00,254.0
2022-01-03 11:00:00+01:00,354.0
2022-01-03 12:00:00+01:00,276.0
2022-01-03 13:00:00+01:00,421.0
2022-01-03 14:00:00+01:00,494.0
2022-01-03 15:00:00+01:00,400.0
2022-01-03 16:00:00+01:00,447.0
2022-01-03 17:00:00+01:00,16.0
2022-01-03 18:00:00+01:00,0.0
2022-01-03 19:00:00+01:00,0.0
2022-01-03 20:00:00+01:00,0.0
2022-01-03 21:00:00+01:00,3.0
2022-01-03 22:00:00+01:00,92.0
2022-01-03 23:00:00+01:00,42.0
2022-01-04 00:00:00+01:00,84.0
2022-01-04 01:00:00+01:00,394.0
2022-01-04 02:00:00+01:00,473.0
2022-01-04 03:00:00+01:00,506.0
2022-01-04 04:00:00+01:00,796.0
2022-01-04 05:00:00+01:00,1053.0
2022-01-04 06:00:00+01:00,1012.0
2022-01-04 07:00:00+01:00,693.0
2022-01-04 08:00:00+01:00,354.0
2022-01-04 09:00:00+01:00,504.0
2022-01-04 10:00:00+01:00,518.0
2022-01-04 11:00:00+01:00,382.0
2022-01-04 12:00:00+01:00,222.0
2022-01-04 13:00:00+01:00,276.0
2022-01-04 14:00:00+01:00,185.0
2022-01-04 15:00:00+01:00,165.0
2022-01-04 16:00:00+01:00,44.0
2022-01-04 17:00:00+01:00,0.0
2022-01-04 18:00:00+01:00,0.0
2022-01-04 19:00:00+01:00,0.0
2022-01-04 20:00:00+01:00,0.0
2022-01-04 21:00:00+01:00,0.0
2022-01-04 22:00:00+01:00,0.0
2022-01-04 23:00:00+01:00,0.0
2022-01-05 00:00:00+01:00,29.0
2022-01-05 01:00:00+01:00,140.0
2022-01-05 02:00:00+01:00,197.0
2022-01-05 03:00:00+01:00,348.0
2022-01-05 04:00:00+01:00,315.0
2022-01-05 05:00:00+01:00,166.0
2022-01-05 06:00:00+01:00,11.0
2022-01-05 07:00:00+01:00,0.0
2022-01-05 08:00:00+01:00,0.0
2022-01-05 09:00:00+01:00,0.0
2022-01-05 10:00:00+01:00,0.0
2022-01-05 11:00:00+01:00,0.0
2022-01-05 12:00:00+01:00,0.0
2022-01-05 13:00:00+01:00,0.0
2022-01-05 14:00:00+01:00,0.0
2022-01-05 15:00:00+01:00,0.0
2022-01-05 16:00:00+01:00,0.0
2022-01-05 17:00:00+01:00,0.0
2022-01-05 18:00:00+01:00,0.0
2022-01-05 19:00:00+01:00,0.0
2022-01-05 20:00:00+01:00,0.0
2022-01-05 21:00:00+01:00,0.0
2022-01-05 22:00:00+01:00,0.0
