,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Solar,Waste,Wind Offshore,Wind Onshore,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption
2022-01-01 00:00:00+01:00,4375.0,3596.0,3447.0,2048.0,279.0,25.0,589.0,2400.0,1436.0,53.0,3208.0,333.0,126.0,2.0,0.0,863.0,6132.0,25772.0,0.0
2022-01-01 00:15:00+01:00,4361.0,3582.0,3483.0,2041.0,279.0,26.0,415.0,2513.0,1436.0,38.0,3325.0,333.0,126.0,1.0,0.0,865.0,6038.0,25686.0,0.0
2022-01-01 00:30:00+01:00,4359.0,3526.0,3537.0,2038.0,279.0,26.0,373.0,2731.0,1435.0,27.0,3344.0,333.0,126.0,1.0,0.0,854.0,5961.0,25280.0,0.0
2022-01-01 00:45:00+01:00,4377.0,3544.0,3527.0,2030.0,279.0,26.0,289.0,2784.0,1436.0,31.0,3342.0,333.0,126.0,1.0,0.0,839.0,5771.0,25344.0,0.0
2022-01-01 01:00:00+01:00,4369.0,3565.0,3414.0,2053.0,279.0,26.0,453.0,2347.0,1431.0,115.0,3351.0,333.0,126.0,1.0,0.0,858.0,5688.0,24884.0,0.0
2022-01-01 01:15:00+01:00,4360.0,3521.0,3415.0,2057.0,279.0,26.0,438.0,2598.0,1428.0,118.0,3350.0,333.0,126.0,1.0,0.0,852.0,5795.0,24636.0,0.0
2022-01-01 01:30:00+01:00,4355.0,3534.0,3403.0,2044.0,279.0,26.0,394.0,2800.0,1430.0,116.0,3347.0,333.0,126.0,1.0,0.0,847.0,5775.0,24206.0,0.0
2022-01-01 01:45:00+01:00,4359.0,3567.0,3425.0,2045.0,279.0,26.0,374.0,2909.0,1430.0,32.0,3344.0,333.0,126.0,1.0,0.0,855.0,5843.0,23513.0,0.0
2022-01-01 02:00:00+01:00,4364.0,3523.0,3437.0,2038.0,279.0,26.0,536.0,2849.0,1430.0,99.0,3347.0,333.0,126.0,1.0,0.0,847.0,5699.0,23546.0,0.0
2022-01-01 02:15:00+01:00,4358.0,3506.0,3394.0,2038.0,279.0,26.0,380.0,2898.0,1427.0,30.0,3345.0,333.0,126.0,1.0,0.0,848.0,5748.0,23154.0,0.0
2022-01-01 02:30:00+01:00,4367.0,3480.0,3404.0,2029.0,279.0,26.0,337.0,3014.0,1429.0,31.0,3348.0,333.0,126.0,1.0,0.0,845.0,5410.0,22965.0,0.0
2022-01-01 02:45:00+01:00,4371.0,3471.0,3400.0,2028.0,279.0,27.0,266.0,2933.0,1427.0,27.0,3337.0,333.0,126.0,1.0,0.0,841.0,5335.0,22867.0,0.0
2022-01-01 03:00:00+01:00,4369.0,3507.0,3427.0,2024.0,279.0,27.0,336.0,3165.0,1428.0,31.0,3348.0,333.0,126.0,1.0,0.0,834.0,5305.0,22561.0,0.0
2022-01-01 03:15:00+01:00,4377.0,3497.0,3408.0,2025.0,279.0,27.0,319.0,3384.0,1428.0,30.0,3342.0,333.0,126.0,1.0,0.0,842.0,5266.0,22283.0,0.0
2022-01-01 03:30:00+01:00,4372.0,3505.0,3407.0,2021.0,279.0,27.0,335.0,3283.0,1429.0,31.0,3343.0,333.0,126.0,1.0,0.0,846.0,5353.0,21747.0,0.0
2022-01-01 03:45:00+01:00,4367.0,3510.0,3414.0,2025.0,279.0,27.0,295.0,3479.0,1428.0,34.0,3337.0,333.0,126.0,1.0,0.0,845.0,5607.0,21487.0,0.0
2022-01-01 04:00:00+01:00,4371.0,3523.0,3429.0,2017.0,279.0,27.0,284.0,3771.0,1428.0,60.0,3342.0,333.0,126.0,1.0,0.0,837.0,5592.0,20840.0,0.0
2022-01-01 04:15:00+01:00,4371.0,3510.0,3419.0,2014.0,279.0,27.0,260.0,3710.0,1426.0,30.0,3343.0,333.0,126.0,1.0,0.0,836.0,5694.0,20836.0,0.0
2022-01-01 04:30:00+01:00,4378.0,3531.0,3432.0,2008.0,279.0,27.0,218.0,3486.0,1427.0,171.0,3344.0,333.0,126.0,1.0,0.0,833.0,5696.0,20202.0,0.0
2022-01-01 04:45:00+01:00,4373.0,3586.0,3435.0,2014.0,279.0,27.0,215.0,3280.0,1425.0,53.0,3341.0,333.0,126.0,1.0,0.0,836.0,5364.0,20158.0,0.0
2022-01-01 05:00:00+01:00,4375.0,3630.0,3408.0,2007.0,279.0,27.0,214.0,2965.0,1426.0,34.0,3345.0,333.0,126.0,1.0,0.0,834.0,5019.0,19769.0,0.0
