,Actual Aggregated
2022-01-01 00:00:00+01:00,52473.0
2022-01-01 01:00:00+01:00,50246.0
2022-01-01 02:00:00+01:00,49656.0
2022-01-01 03:00:00+01:00,47619.0
2022-01-01 04:00:00+01:00,45778.0
2022-01-01 05:00:00+01:00,44719.0
2022-01-01 06:00:00+01:00,43976.0
2022-01-01 07:00:00+01:00,42806.0
2022-01-01 08:00:00+01:00,42996.0
2022-01-01 09:00:00+01:00,44961.0
2022-01-01 10:00:00+01:00,46608.0
2022-01-01 11:00:00+01:00,46654.0
2022-01-01 12:00:00+01:00,46976.0
2022-01-01 13:00:00+01:00,43696.0
2022-01-01 14:00:00+01:00,41577.0
2022-01-01 15:00:00+01:00,41298.0
2022-01-01 16:00:00+01:00,43882.0
2022-01-01 17:00:00+01:00,46102.0
2022-01-01 18:00:00+01:00,48870.0
2022-01-01 19:00:00+01:00,51844.0
2022-01-01 20:00:00+01:00,52375.0
2022-01-01 21:00:00+01:00,50911.0
2022-01-01 22:00:00+01:00,48987.0
2022-01-01 23:00:00+01:00,47936.0
2022-01-02 00:00:00+01:00,47614.0
2022-01-02 01:00:00+01:00,47145.0
2022-01-02 02:00:00+01:00,46912.0
2022-01-02 03:00:00+01:00,46773.0
2022-01-02 04:00:00+01:00,46259.0
2022-01-02 05:00:00+01:00,45774.0
2022-01-02 06:00:00+01:00,46386.0
2022-01-02 07:00:00+01:00,47890.0
2022-01-02 08:00:00+01:00,50205.0
2022-01-02 09:00:00+01:00,53243.0
2022-01-02 10:00:00+01:00,57068.0
2022-01-02 11:00:00+01:00,61207.0
2022-01-02 12:00:00+01:00,63392.0
2022-01-02 13:00:00+01:00,63282.0
2022-01-02 14:00:00+01:00,63775.0
2022-01-02 15:00:00+01:00,63978.0
2022-01-02 16:00:00+01:00,65008.0
2022-01-02 17:00:00+01:00,67512.0
2022-01-02 18:00:00+01:00,68717.0
2022-01-02 19:00:00+01:00,68569.0
2022-01-02 20:00:00+01:00,66554.0
2022-01-02 21:00:00+01:00,64575.0
2022-01-02 22:00:00+01:00,63044.0
2022-01-02 23:00:00+01:00,61752.0
2022-01-03 00:00:00+01:00,58474.0
2022-01-03 01:00:00+01:00,57051.0
2022-01-03 02:00:00+01:00,55836.0
2022-01-03 03:00:00+01:00,56201.0
2022-01-03 04:00:00+01:00,56790.0
2022-01-03 05:00:00+01:00,60923.0
2022-01-03 06:00:00+01:00,67287.0
2022-01-03 07:00:00+01:00,72954.0
2022-01-03 08:00:00+01:00,76077.0
2022-01-03 09:00:00+01:00,77051.0
2022-01-03 10:00:00+01:00,77438.0
2022-01-03 11:00:00+01:00,77714.0
2022-01-03 12:00:00+01:00,77702.0
2022-01-03 13:00:00+01:00,76890.0
2022-01-03 14:00:00+01:00,74668.0
2022-01-03 15:00:00+01:00,73266.0
2022-01-03 16:00:00+01:00,74191.0
2022-01-03 17:00:00+01:00,76005.0
2022-01-03 18:00:00+01:00,76277.0
2022-01-03 19:00:00+01:00,74801.0
2022-01-03 20:00:00+01:00,71770.0
2022-01-03 21:00:00+01:00,67315.0
2022-01-03 22:00:00+01:00,63805.0
2022-01-03 23:00:00+01:00,59788.0
2022-01-04 00:00:00+01:00,56885.0
2022-01-04 01:00:00+01:00,53739.0
2022-01-04 02:00:00+01:00,51018.0
2022-01-04 03:00:00+01:00,49630.0
2022-01-04 04:00:00+01:00,48882.0
2022-01-04 05:00:00+01:00,49287.0
2022-01-04 06:00:00+01:00,53230.0
2022-01-04 07:00:00+01:00,58933.0
2022-01-04 08:00:00+01:00,62430.0
2022-01-04 09:00:00+01:00,63286.0
2022-01-04 10:00:00+01:00,63289.0
2022-01-04 11:00:00+01:00,63474.0
2022-01-04 12:00:00+01:00,63521.0
2022-01-04 13:00:00+01:00,63533.0
2022-01-04 14:00:00+01:00,62816.0
2022-01-04 15:00:00+01:00,63405.0
2022-01-04 16:00:00+01:00,64459.0
2022-01-04 17:00:00+01:00,67799.0
2022-01-04 18:00:00+01:00,68865.0
2022-01-04 19:00:00+01:00,68167.0
2022-01-04 20:00:00+01:00,66314.0
2022-01-04 21:00:00+01:00,63767.0
2022-01-04 22:00:00+01:00,63010.0
2022-01-04 23:00:00+01:00,61411.0
2022-01-05 00:00:00+01:00,58709.0
2022-01-05 01:00:00+01:00,58986.0
2022-01-05 02:00:00+01:00,59789.0
2022-01-05 03:00:00+01:00,60657.0
2022-01-05 04:00:00+01:00,62668.0
2022-01-05 05:00:00+01:00,65909.0
2022-01-05 06:00:00+01:00,70989.0
2022-01-05 07:00:00+01:00,74842.0
2022-01-05 08:00:00+01:00,77392.0
2022-01-05 09:00:00+01:00,78666.0
2022-01-05 10:00:00+01:00,79572.0
2022-01-05 11:00:00+01:00,80831.0
2022-01-05 12:00:00+01:00,80250.0
2022-01-05 13:00:00+01:00,79049.0
2022-01-05 14:00:00+01:00,76927.0
2022-01-05 15:00:00+01:00,75903.0
2022-01-05 16:00:00+01:00,76306.0
2022-01-05 17:00:00+01:00,77269.0
2022-01-05 18:00:00+01:00,76462.0
2022-01-05 19:00:00+01:00,74653.0
2022-01-05 20:00:00+01:00,70944.0
2022-01-05 21:00:00+01:00,67156.0
2022-01-05 22:00:00+01:00,64439.0
2022-01-05 23:00:00+01:00,61269.0
2022-01-06 00:00:00+01:00,59269.0
2022-01-06 01:00:00+01:00,57960.0
2022-01-06 02:00:00+01:00,57438.0
2022-01-06 03:00:00+01:00,56288.0
2022-01-06 04:00:00+01:00,55979.0
2022-01-06 05:00:00+01:00,55825.0
2022-01-06 06:00:00+01:00,57974.0
2022-01-06 07:00:00+01:00,60224.0
2022-01-06 08:00:00+01:00,62636.0
2022-01-06 09:00:00+01:00,63358.0
2022-01-06 10:00:00+01:00,64988.0
2022-01-06 11:00:00+01:00,64954.0
2022-01-06 12:00:00+01:00,63765.0
2022-01-06 13:00:00+01:00,60503.0
2022-01-06 14:00:00+01:00,58064.0
2022-01-06 15:00:00+01:00,55864.0
2022-01-06 16:00:00+01:00,55583.0
2022-01-06 17:00:00+01:00,59947.0
2022-01-06 18:00:00+01:00,61671.0
2022-01-06 19:00:00+01:00,61640.0
2022-01-06 20:00:00+01:00,60601.0
2022-01-06 21:00:00+01:00,59381.0
2022-01-06 22:00:00+01:00,59722.0
2022-01-06 23:00:00+01:00,58592.0
