,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Import,Import,Import,Import,Import,Import,Import,Import,Import,Import,Import,Import
,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,AT,BE,CH,CZ,DK_1,DK_2,FR,NO_2,NL,PL,SE_4,sum
2022-01-01 00:00:00+01:00,4375.0,3596.0,3447.0,2048.0,279.0,25.0,-1811.0,1436.0,53.0,3208.0,333.0,126.0,2.0,863.0,6132.0,25772.0,418.0,0.0,0.0,1050.0,0.0,0.0,28.0,0.0,722.0,3.0,214.0,2435.0
2022-01-01 00:15:00+01:00,4361.0,3582.0,3483.0,2041.0,279.0,26.0,-2098.0,1436.0,38.0,3325.0,333.0,126.0,1.0,865.0,6038.0,25686.0,528.0,0.0,0.0,1050.0,0.0,0.0,28.0,0.0,816.0,3.0,214.0,1344.0
2022-01-01 00:30:00+01:00,4359.0,3526.0,3537.0,2038.0,279.0,26.0,-2358.0,1435.0,27.0,3344.0,333.0,126.0,1.0,854.0,5961.0,25280.0,566.0,0.0,0.0,1050.0,0.0,0.0,28.0,0.0,789.0,3.0,214.0,1355.0
2022-01-01 00:45:00+01:00,4377.0,3544.0,3527.0,2030.0,279.0,26.0,-2495.0,1436.0,31.0,3342.0,333.0,126.0,1.0,839.0,5771.0,25344.0,635.0,0.0,0.0,1050.0,0.0,0.0,28.0,0.0,626.0,3.0,214.0,1261.0
2022-01-01 01:00:00+01:00,4369.0,3565.0,3414.0,2053.0,279.0,26.0,-1894.0,1431.0,115.0,3351.0,333.0,126.0,1.0,858.0,5688.0,24884.0,536.0,0.0,0.0,1088.0,0.0,0.0,1.0,0.0,540.0,29.0,30.0,2224.0
2022-01-01 01:15:00+01:00,4360.0,3521.0,3415.0,2057.0,279.0,26.0,-2160.0,1428.0,118.0,3350.0,333.0,126.0,1.0,852.0,5795.0,24636.0,558.0,0.0,0.0,1088.0,0.0,0.0,1.0,0.0,436.0,29.0,30.0,994.0
2022-01-01 01:30:00+01:00,4355.0,3534.0,3403.0,2044.0,279.0,26.0,-2406.0,1430.0,116.0,3347.0,333.0,126.0,1.0,847.0,5775.0,24206.0,653.0,0.0,0.0,1088.0,0.0,0.0,1.0,0.0,380.0,29.0,30.0,1033.0
2022-01-01 01:45:00+01:00,4359.0,3567.0,3425.0,2045.0,279.0,26.0,-2535.0,1430.0,32.0,3344.0,333.0,126.0,1.0,855.0,5843.0,23513.0,697.0,0.0,0.0,1088.0,0.0,0.0,1.0,0.0,346.0,29.0,30.0,1043.0
2022-01-01 02:00:00+01:00,4364.0,3523.0,3437.0,2038.0,279.0,26.0,-2313.0,1430.0,99.0,3347.0,333.0,126.0,1.0,847.0,5699.0,23546.0,582.0,65.0,0.0,1116.0,0.0,0.0,0.0,0.0,241.0,77.0,46.0,2127.0
