,Actual Load
2022-01-01 00:00:00+01:00,45093.0
2022-01-01 00:15:00+01:00,44673.0
2022-01-01 00:30:00+01:00,44158.0
2022-01-01 00:45:00+01:00,43481.0
2022-01-01 01:00:00+01:00,42621.0
2022-01-01 01:15:00+01:00,42230.0
2022-01-01 01:30:00+01:00,41562.0
2022-01-01 01:45:00+01:00,41418.0
2022-01-01 02:00:00+01:00,41591.0
2022-01-01 02:15:00+01:00,41044.0
2022-01-01 02:30:00+01:00,40568.0
2022-01-01 02:45:00+01:00,40349.0
2022-01-01 03:00:00+01:00,40072.0
2022-01-01 03:15:00+01:00,39962.0
2022-01-01 03:30:00+01:00,39946.0
2022-01-01 03:45:00+01:00,39876.0
2022-01-01 04:00:00+01:00,39844.0
2022-01-01 04:15:00+01:00,39674.0
2022-01-01 04:30:00+01:00,39881.0
2022-01-01 04:45:00+01:00,39535.0
2022-01-01 05:00:00+01:00,39509.0
2022-01-01 05:15:00+01:00,39322.0
2022-01-01 05:30:00+01:00,39196.0
2022-01-01 05:45:00+01:00,38865.0
2022-01-01 06:00:00+01:00,38755.0
2022-01-01 06:15:00+01:00,38786.0
2022-01-01 06:30:00+01:00,38796.0
2022-01-01 06:45:00+01:00,38911.0
2022-01-01 07:00:00+01:00,39375.0
2022-01-01 07:15:00+01:00,39309.0
2022-01-01 07:30:00+01:00,39534.0
2022-01-01 07:45:00+01:00,39724.0
2022-01-01 08:00:00+01:00,40391.0
2022-01-01 08:15:00+01:00,40687.0
2022-01-01 08:30:00+01:00,40744.0
2022-01-01 08:45:00+01:00,41023.0
2022-01-01 09:00:00+01:00,42184.0
2022-01-01 09:15:00+01:00,42741.0
2022-01-01 09:30:00+01:00,43257.0
2022-01-01 09:45:00+01:00,43543.0
2022-01-01 10:00:00+01:00,44020.0
2022-01-01 10:15:00+01:00,44578.0
2022-01-01 10:30:00+01:00,45061.0
2022-01-01 10:45:00+01:00,45640.0
2022-01-01 11:00:00+01:00,46342.0
2022-01-01 11:15:00+01:00,47077.0
2022-01-01 11:30:00+01:00,47689.0
2022-01-01 11:45:00+01:00,47699.0
2022-01-01 12:00:00+01:00,47772.0
2022-01-01 12:15:00+01:00,47826.0
2022-01-01 12:30:00+01:00,48213.0
2022-01-01 12:45:00+01:00,47389.0
2022-01-01 13:00:00+01:00,47043.0
2022-01-01 13:15:00+01:00,46729.0
2022-01-01 13:30:00+01:00,46853.0
2022-01-01 13:45:00+01:00,46849.0
2022-01-01 14:00:00+01:00,46382.0
2022-01-01 14:15:00+01:00,46153.0
2022-01-01 14:30:00+01:00,46116.0
2022-01-01 14:45:00+01:00,46121.0
2022-01-01 15:00:00+01:00,46188.0
2022-01-01 15:15:00+01:00,45988.0
2022-01-01 15:30:00+01:00,46064.0
2022-01-01 15:45:00+01:00,46328.0
2022-01-01 16:00:00+01:00,47045.0
2022-01-01 16:15:00+01:00,47704.0
2022-01-01 16:30:00+01:00,48764.0
2022-01-01 16:45:00+01:00,49969.0
2022-01-01 17:00:00+01:00,51194.0
2022-01-01 17:15:00+01:00,51895.0
2022-01-01 17:30:00+01:00,52570.0
2022-01-01 17:45:00+01:00,52833.0
2022-01-01 18:00:00+01:00,53120.0
2022-01-01 18:15:00+01:00,53307.0
2022-01-01 18:30:00+01:00,53097.0
2022-01-01 18:45:00+01:00,52922.0
2022-01-01 19:00:00+01:00,52651.0
2022-01-01 19:15:00+01:00,52393.0
2022-01-01 19:30:00+01:00,52047.0
2022-01-01 19:45:00+01:00,51428.0
2022-01-01 20:00:00+01:00,51081.0
2022-01-01 20:15:00+01:00,50457.0
2022-01-01 20:30:00+01:00,49833.0
2022-01-01 20:45:00+01:00,49324.0
2022-01-01 21:00:00+01:00,48978.0
2022-01-01 21:15:00+01:00,48463.0
2022-01-01 21:30:00+01:00,48445.0
2022-01-01 21:45:00+01:00,48209.0
2022-01-01 22:00:00+01:00,48571.0
2022-01-01 22:15:00+01:00,48276.0
2022-01-01 22:30:00+01:00,47776.0
2022-01-01 22:45:00+01:00,47193.0
2022-01-01 23:00:00+01:00,46331.0
2022-01-01 23:15:00+01:00,45719.0
2022-01-01 23:30:00+01:00,45115.0
2022-01-01 23:45:00+01:00,44132.0
2022-01-02 00:00:00+01:00,43332.0
2022-01-02 00:15:00+01:00,43119.0
2022-01-02 00:30:00+01:00,43260.0
2022-01-02 00:45:00+01:00,42680.0
