,Forecasted Load,Actual Load
2022-01-01 00:00:00+01:00,42904.0,45093.0
2022-01-01 00:15:00+01:00,42533.0,44673.0
2022-01-01 00:30:00+01:00,42126.0,44158.0
2022-01-01 00:45:00+01:00,41678.0,43481.0
2022-01-01 01:00:00+01:00,41113.0,42621.0
2022-01-01 01:15:00+01:00,40520.0,42230.0
2022-01-01 01:30:00+01:00,40138.0,41562.0
2022-01-01 01:45:00+01:00,39905.0,41418.0
2022-01-01 02:00:00+01:00,39544.0,41591.0
2022-01-01 02:15:00+01:00,39343.0,41044.0
2022-01-01 02:30:00+01:00,38806.0,40568.0
2022-01-01 02:45:00+01:00,38690.0,40349.0
2022-01-01 03:00:00+01:00,38320.0,40072.0
2022-01-01 03:15:00+01:00,38110.0,39962.0
2022-01-01 03:30:00+01:00,38034.0,39946.0
2022-01-01 03:45:00+01:00,37802.0,39876.0
2022-01-01 04:00:00+01:00,38195.0,39844.0
2022-01-01 04:15:00+01:00,38202.0,39674.0
2022-01-01 04:30:00+01:00,38238.0,39881.0
2022-01-01 04:45:00+01:00,38118.0,39535.0
2022-01-01 05:00:00+01:00,37764.0,39509.0
2022-01-01 05:15:00+01:00,37506.0,39322.0
2022-01-01 05:30:00+01:00,37269.0,39196.0
2022-01-01 05:45:00+01:00,36829.0,38865.0
2022-01-01 06:00:00+01:00,35745.0,38755.0
2022-01-01 06:15:00+01:00,36038.0,38786.0
2022-01-01 06:30:00+01:00,35829.0,38796.0
2022-01-01 06:45:00+01:00,36052.0,38911.0
2022-01-01 07:00:00+01:00,36279.0,39375.0
2022-01-01 07:15:00+01:00,37018.0,39309.0
2022-01-01 07:30:00+01:00,37514.0,39534.0
2022-01-01 07:45:00+01:00,38098.0,39724.0
2022-01-01 08:00:00+01:00,38999.0,40391.0
2022-01-01 08:15:00+01:00,39384.0,40687.0
2022-01-01 08:30:00+01:00,39997.0,40744.0
2022-01-01 08:45:00+01:00,40814.0,41023.0
2022-01-01 09:00:00+01:00,41542.0,42184.0
2022-01-01 09:15:00+01:00,42285.0,42741.0
2022-01-01 09:30:00+01:00,43097.0,43257.0
2022-01-01 09:45:00+01:00,43802.0,43543.0
2022-01-01 10:00:00+01:00,44357.0,44020.0
2022-01-01 10:15:00+01:00,44822.0,44578.0
2022-01-01 10:30:00+01:00,45237.0,45061.0
2022-01-01 10:45:00+01:00,46141.0,45640.0
2022-01-01 11:00:00+01:00,46961.0,46342.0
2022-01-01 11:15:00+01:00,47745.0,47077.0
2022-01-01 11:30:00+01:00,48702.0,47689.0
2022-01-01 11:45:00+01:00,48665.0,47699.0
2022-01-01 12:00:00+01:00,49010.0,47772.0
2022-01-01 12:15:00+01:00,49061.0,47826.0
2022-01-01 12:30:00+01:00,48875.0,48213.0
2022-01-01 12:45:00+01:00,48918.0,47389.0
2022-01-01 13:00:00+01:00,48290.0,47043.0
2022-01-01 13:15:00+01:00,47719.0,46729.0
2022-01-01 13:30:00+01:00,47476.0,46853.0
2022-01-01 13:45:00+01:00,47235.0,46849.0
2022-01-01 14:00:00+01:00,46855.0,46382.0
2022-01-01 14:15:00+01:00,46450.0,46153.0
2022-01-01 14:30:00+01:00,46311.0,46116.0
2022-01-01 14:45:00+01:00,46052.0,46121.0
2022-01-01 15:00:00+01:00,46208.0,46188.0
2022-01-01 15:15:00+01:00,46116.0,45988.0
2022-01-01 15:30:00+01:00,46100.0,46064.0
2022-01-01 15:45:00+01:00,46808.0,46328.0
2022-01-01 16:00:00+01:00,46855.0,47045.0
2022-01-01 16:15:00+01:00,47423.0,47704.0
2022-01-01 16:30:00+01:00,48582.0,48764.0
2022-01-01 16:45:00+01:00,49761.0,49969.0
2022-01-01 17:00:00+01:00,50571.0,51194.0
2022-01-01 17:15:00+01:00,51203.0,51895.0
2022-01-01 17:30:00+01:00,51583.0,52570.0
2022-01-01 17:45:00+01:00,51844.0,52833.0
2022-01-01 18:00:00+01:00,52208.0,53120.0
2022-01-01 18:15:00+01:00,52401.0,53307.0
2022-01-01 18:30:00+01:00,52454.0,53097.0
2022-01-01 18:45:00+01:00,52027.0,52922.0
2022-01-01 19:00:00+01:00,51792.0,52651.0
2022-01-01 19:15:00+01:00,50851.0,52393.0
2022-01-01 19:30:00+01:00,50997.0,52047.0
2022-01-01 19:45:00+01:00,50277.0,51428.0
2022-01-01 20:00:00+01:00,49592.0,51081.0
2022-01-01 20:15:00+01:00,49080.0,50457.0
2022-01-01 20:30:00+01:00,48589.0,49833.0
