,Forecasted Load
2022-01-01 00:00:00+01:00,42904.0
2022-01-01 00:15:00+01:00,42533.0
2022-01-01 00:30:00+01:00,42126.0
2022-01-01 00:45:00+01:00,41678.0
2022-01-01 01:00:00+01:00,41113.0
2022-01-01 01:15:00+01:00,40520.0
2022-01-01 01:30:00+01:00,40138.0
2022-01-01 01:45:00+01:00,39905.0
2022-01-01 02:00:00+01:00,39544.0
2022-01-01 02:15:00+01:00,39343.0
2022-01-01 02:30:00+01:00,38806.0
2022-01-01 02:45:00+01:00,38690.0
2022-01-01 03:00:00+01:00,38320.0
2022-01-01 03:15:00+01:00,38110.0
2022-01-01 03:30:00+01:00,38034.0
2022-01-01 03:45:00+01:00,37802.0
2022-01-01 04:00:00+01:00,38195.0
2022-01-01 04:15:00+01:00,38202.0
2022-01-01 04:30:00+01:00,38238.0
2022-01-01 04:45:00+01:00,38118.0
2022-01-01 05:00:00+01:00,37764.0
2022-01-01 05:15:00+01:00,37506.0
2022-01-01 05:30:00+01:00,37269.0
2022-01-01 05:45:00+01:00,36829.0
2022-01-01 06:00:00+01:00,35745.0
2022-01-01 06:15:00+01:00,36038.0
2022-01-01 06:30:00+01:00,35829.0
2022-01-01 06:45:00+01:00,36052.0
2022-01-01 07:00:00+01:00,36279.0
2022-01-01 07:15:00+01:00,37018.0
2022-01-01 07:30:00+01:00,37514.0
2022-01-01 07:45:00+01:00,38098.0
2022-01-01 08:00:00+01:00,38999.0
2022-01-01 08:15:00+01:00,39384.0
2022-01-01 08:30:00+01:00,39997.0
2022-01-01 08:45:00+01:00,40814.0
2022-01-01 09:00:00+01:00,41542.0
2022-01-01 09:15:00+01:00,42285.0
2022-01-01 09:30:00+01:00,43097.0
2022-01-01 09:45:00+01:00,43802.0
2022-01-01 10:00:00+01:00,44357.0
2022-01-01 10:15:00+01:00,44822.0
2022-01-01 10:30:00+01:00,45237.0
2022-01-01 10:45:00+01:00,46141.0
2022-01-01 11:00:00+01:00,46961.0
2022-01-01 11:15:00+01:00,47745.0
