,AT,BE,CH,CZ,DK_1,DK_2,FR,NO_2,NL,PL,SE_4,sum
2022-01-01 00:00:00+01:00,1868.0,496.0,3169.0,289.0,443.0,699.0,331.0,1367.0,1416.0,394.0,0.0,10472.0
2022-01-01 00:15:00+01:00,1847.0,489.0,3222.0,,600.0,759.0,,1361.0,1403.0,,,9681.0
2022-01-01 00:30:00+01:00,1604.0,459.0,3219.0,,404.0,758.0,,1361.0,1422.0,,,9227.0
2022-01-01 00:45:00+01:00,1664.0,450.0,3225.0,,461.0,744.0,,1361.0,1437.0,,,9342.0
2022-01-01 01:00:00+01:00,1805.0,341.0,3233.0,155.0,509.0,624.0,487.0,1361.0,1325.0,396.0,0.0,10236.0
2022-01-01 01:15:00+01:00,1823.0,283.0,3251.0,,542.0,613.0,,1361.0,1346.0,,,9219.0
2022-01-01 01:30:00+01:00,1706.0,328.0,3161.0,,573.0,613.0,,1361.0,1316.0,,,9058.0
2022-01-01 01:45:00+01:00,1694.0,257.0,3131.0,,615.0,507.0,,1361.0,1269.0,,,8834.0
2022-01-01 02:00:00+01:00,1760.0,145.0,3302.0,187.0,531.0,112.0,880.0,1361.0,1143.0,408.0,0.0,9829.0
2022-01-01 02:15:00+01:00,1696.0,148.0,3380.0,,564.0,22.0,,1360.0,1135.0,,,8305.0
2022-01-01 02:30:00+01:00,1669.0,157.0,3422.0,,550.0,23.0,,1361.0,1044.0,,,8226.0
2022-01-01 02:45:00+01:00,1735.0,143.0,3459.0,,584.0,32.0,,1368.0,1046.0,,,8367.0
2022-01-01 03:00:00+01:00,1702.0,243.0,3501.0,95.0,355.0,122.0,527.0,1393.0,1344.0,450.0,0.0,9732.0
2022-01-01 03:15:00+01:00,1615.0,218.0,3504.0,,456.0,130.0,,1400.0,1399.0,,,8722.0
2022-01-01 03:30:00+01:00,1596.0,164.0,3480.0,,527.0,129.0,,1399.0,1324.0,,,8619.0
2022-01-01 03:45:00+01:00,1555.0,198.0,3319.0,,487.0,260.0,,1400.0,1423.0,,,8642.0
2022-01-01 04:00:00+01:00,1474.0,57.0,3084.0,26.0,84.0,537.0,94.0,1400.0,1532.0,367.0,0.0,8655.0
2022-01-01 04:15:00+01:00,1450.0,42.0,3154.0,,147.0,596.0,,1400.0,1558.0,,,8347.0
2022-01-01 04:30:00+01:00,1435.0,55.0,3150.0,,137.0,597.0,,1400.0,1521.0,,,8295.0
2022-01-01 04:45:00+01:00,1456.0,52.0,3154.0,,115.0,573.0,,1399.0,1523.0,,,8272.0
2022-01-01 05:00:00+01:00,1407.0,0.0,3127.0,0.0,115.0,380.0,0.0,1400.0,1421.0,333.0,2.0,8185.0
2022-01-01 05:15:00+01:00,1452.0,0.0,3169.0,,122.0,364.0,,1400.0,1298.0,,,7805.0
2022-01-01 05:30:00+01:00,1463.0,0.0,3203.0,,94.0,364.0,,1400.0,1199.0,,,7723.0
2022-01-01 05:45:00+01:00,1530.0,0.0,3235.0,,199.0,374.0,,1399.0,1099.0,,,7836.0
