,AT,BE,CH,CZ,DK_1,DK_2,FR,NO_2,NL,PL,SE_4,sum
2022-01-01 00:00:00+01:00,418.0,0.0,0.0,1050.0,0.0,0.0,28.0,0.0,722.0,3.0,214.0,2435.0
2022-01-01 00:15:00+01:00,528.0,0.0,0.0,,0.0,0.0,,0.0,816.0,,,1344.0
2022-01-01 00:30:00+01:00,566.0,0.0,0.0,,0.0,0.0,,0.0,789.0,,,1355.0
2022-01-01 00:45:00+01:00,635.0,0.0,0.0,,0.0,0.0,,0.0,626.0,,,1261.0
2022-01-01 01:00:00+01:00,536.0,0.0,0.0,1088.0,0.0,0.0,1.0,0.0,540.0,29.0,30.0,2224.0
2022-01-01 01:15:00+01:00,558.0,0.0,0.0,,0.0,0.0,,0.0,436.0,,,994.0
2022-01-01 01:30:00+01:00,653.0,0.0,0.0,,0.0,0.0,,0.0,380.0,,,1033.0
2022-01-01 01:45:00+01:00,697.0,0.0,0.0,,0.0,0.0,,0.0,346.0,,,1043.0
2022-01-01 02:00:00+01:00,582.0,65.0,0.0,1116.0,0.0,0.0,0.0,0.0,241.0,77.0,46.0,2127.0
2022-01-01 02:15:00+01:00,613.0,211.0,0.0,,0.0,0.0,,0.0,235.0,,,1059.0
2022-01-01 02:30:00+01:00,656.0,382.0,0.0,,0.0,0.0,,0.0,231.0,,,1269.0
2022-01-01 02:45:00+01:00,725.0,322.0,0.0,,0.0,0.0,,0.0,420.0,,,1467.0
2022-01-01 03:00:00+01:00,706.0,0.0,0.0,1208.0,0.0,0.0,0.0,0.0,820.0,254.0,473.0,3461.0
2022-01-01 03:15:00+01:00,732.0,0.0,0.0,,0.0,0.0,,0.0,825.0,,,1557.0
2022-01-01 03:30:00+01:00,728.0,0.0,0.0,,0.0,0.0,,0.0,871.0,,,1599.0
2022-01-01 03:45:00+01:00,747.0,0.0,0.0,,0.0,0.0,,0.0,881.0,,,1628.0
2022-01-01 04:00:00+01:00,733.0,201.0,0.0,1182.0,25.0,0.0,117.0,0.0,1057.0,277.0,94.0,3686.0
2022-01-01 04:15:00+01:00,730.0,258.0,0.0,,0.0,0.0,,0.0,1145.0,,,2133.0
2022-01-01 04:30:00+01:00,697.0,589.0,0.0,,0.0,0.0,,0.0,1055.0,,,2341.0
2022-01-01 04:45:00+01:00,703.0,661.0,0.0,,4.0,0.0,,0.0,1014.0,,,2382.0
2022-01-01 05:00:00+01:00,716.0,540.0,0.0,1207.0,0.0,0.0,239.0,0.0,1312.0,331.0,0.0,4345.0
2022-01-01 05:15:00+01:00,708.0,606.0,0.0,,1.0,0.0,,0.0,1257.0,,,2572.0
2022-01-01 05:30:00+01:00,705.0,525.0,0.0,,10.0,0.0,,0.0,1324.0,,,2564.0
2022-01-01 05:45:00+01:00,700.0,568.0,0.0,,0.0,0.0,,0.0,1399.0,,,2667.0
2022-01-01 06:00:00+01:00,787.0,480.0,0.0,1409.0,0.0,0.0,312.0,0.0,1330.0,346.0,0.0,4664.0
2022-01-01 06:15:00+01:00,746.0,456.0,0.0,,0.0,0.0,,0.0,1359.0,,,2561.0
2022-01-01 06:30:00+01:00,748.0,459.0,0.0,,0.0,0.0,,0.0,1302.0,,,2509.0
2022-01-01 06:45:00+01:00,794.0,546.0,0.0,,0.0,0.0,,0.0,1257.0,,,2597.0
2022-01-01 07:00:00+01:00,1018.0,586.0,0.0,1782.0,0.0,0.0,504.0,0.0,1188.0,481.0,0.0,5559.0
2022-01-01 07:15:00+01:00,965.0,604.0,0.0,,0.0,0.0,,0.0,1241.0,,,2810.0
2022-01-01 07:30:00+01:00,983.0,597.0,0.0,,0.0,0.0,,0.0,1265.0,,,2845.0
2022-01-01 07:45:00+01:00,987.0,632.0,0.0,,0.0,0.0,,0.0,1318.0,,,2937.0
2022-01-01 08:00:00+01:00,1021.0,731.0,0.0,1646.0,0.0,0.0,1147.0,0.0,1187.0,476.0,0.0,6208.0
2022-01-01 08:15:00+01:00,898.0,739.0,0.0,,0.0,0.0,,0.0,1261.0,,,2898.0
2022-01-01 08:30:00+01:00,987.0,750.0,0.0,,0.0,0.0,,0.0,1449.0,,,3186.0
2022-01-01 08:45:00+01:00,906.0,706.0,0.0,,0.0,0.0,,0.0,1642.0,,,3254.0
